date;cultural_venues;gastronomy;essential_retail;non-essential_retail;major_events;events_and_gatherings;public_gatherings;traceability;tourism;traveling;school_facilities;university_facilities;sport_facilities;medical_facilities;mouth_and_nose_covering;curfew;new_infections
2020-01-28;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-29;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-30;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-01-31;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-01;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-02;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-03;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-04;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-05;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-06;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-07;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-08;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-09;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-10;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-11;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-12;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-13;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-14;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-15;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-16;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-17;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-18;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-19;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-20;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-21;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-22;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-23;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-24;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-25;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-26;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-27;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;1
2020-02-28;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;0
2020-02-29;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;2
2020-03-01;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;2
2020-03-02;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;1
2020-03-03;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;6
2020-03-04;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;2
2020-03-05;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;6
2020-03-06;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;10
2020-03-07;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;1
2020-03-08;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;2
2020-03-09;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;10
2020-03-10;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;10
2020-03-11;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;8
2020-03-12;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;40
2020-03-13;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;48
2020-03-14;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;89
2020-03-15;open;open;open;open;allowed;allowed;allowed;no;allowed;allowed;open;open;open;open;not_mandatory;no;35
2020-03-16;closed;closedw/dp;openw/meas;closedw/delivery;prohibited;prohibited;prohibited_over_2;no;prohibited;ra_14d_limitations;closed;closedw/exlib;closed;limited_visits;not_mandatory;no;45
2020-03-17;closed;closedw/dp;openw/meas;closedw/delivery;prohibited;prohibited;prohibited_over_2;no;prohibited;ra_14d_limitations;closed;closedw/exlib;closed;limited_visits;not_mandatory;no;100
